15
828.00 679.20 1069.20  657.60
564.00 781.20 495.60  871.20
1042.80 1006.80 830.40  1076.40
666.00 778.80 1126.80  248.40
976.80 998.40 1093.20  136.80
1042.80 548.40 1138.80  398.40
808.80 874.80 912.00  458.40
567.60 813.60 859.20  1155.60
1154.40 928.80 492.00  279.60
1050.00 783.60 1062.00  259.20
1098.00 1134.00 1038.00  1009.20
619.20 1065.60 1059.60  536.40
1017.60 866.40 607.20  841.20
542.40 1200.00 807.60  1054.80
554.40 534.00 768.00  392.40
20
667 252 192  199 100
469 759 128  82 94
46 219 383  182 187
763 648 289  211 299
214 568 692  193 215
207 469 513  85 263
492 268 223  208 231
433 415 111  88 56
614 515 249  97 237
731 540 296  127 28
741 179 220  294 300
635 118 165  222 252
748 692 347  130 130
636 81 470  37 258
329 731 276  184 49
208 325 113  7 39
662 652 54  94 236
481 736 516  187 80
633 325 81  246 229
555 563 279  257 286
