15
953 999 684  605
494 895 828  475
700 596 615  531
772 771 964  835
517 409 791  635
592 728 964  815
704 590 512  474
525 532 748  335
894 663 984  699
703 513 784  722
888 982 606  673
710 673 414  392
721 911 411  557
954 989 783  944
548 515 518  586
20
456 369 695  67 77
484 660 227  69 205
489 617 692  253 217
54 763 60  132 73
413 670 602  264 156
800 169 166  106 166
316 546 74  258 25
133 69 728  297 91
359 91 376  10 31
337 214 385  90 245
414 208 566  13 169
33 784 486  281 76
317 655 537  11 68
586 15 737  286 213
404 387 569  65 100
797 240 569  57 73
554 448 197  299 294
625 566 108  195 290
788 352 364  1 210
621 223 596  99 196
