5
633 552 542  693
507 933 998  119
772 556 720  334
447 417 707  152
561 754 750  610
40
577 338 658  77 260
792 330 97  153 175
681 304 127  298 160
597 151 536  175 104
710 126 563  121 103
709 676 657  223 254
627 326 617  176 82
601 213 763  93 4
547 23 87  225 87
199 718 530  101 45
713 643 40  21 179
530 213 563  184 8
627 651 330  54 153
606 442 417  147 50
371 528 619  109 38
56 645 389  46 263
552 372 373  205 67
483 548 589  264 238
262 173 401  239 20
430 385 214  209 141
738 699 703  136 57
795 642 532  118 95
273 124 261  210 136
150 501 177  229 172
672 705 774  282 243
480 729 13  56 200
520 705 242  143 51
360 44 793  31 255
91 407 368  175 288
309 457 374  24 146
688 221 341  82 270
544 599 764  123 193
728 611 267  127 243
700 164 748  245 290
456 90 562  266 71
532 255 293  185 30
740 159 252  181 248
85 608 9  175 161
340 545 241  88 167
289 388 187  135 54
