10
768 852 973  228
661 712 543  191
677 407 474  728
444 766 759  153
810 439 936  905
683 660 885  785
862 540 841  923
947 726 537  378
924 570 844  372
714 579 664  954
20
628 303 498  233 187
785 562 752  144 27
610 738 545  164 154
672 773 681  65 94
789 424 543  205 8
548 131 559  194 60
290 313 177  111 148
764 334 79  41 97
439 644 204  134 161
656 355 340  279 97
199 634 282  16 18
569 245 101  54 238
259 132 295  232 94
256 150 564  190 251
460 103 82  94 240
574 63 240  166 191
724 505 669  46 240
65 64 667  53 295
201 477 694  154 65
51 513 64  273 85
