15
597 729 534  536
433 796 926  737
595 462 551  222
713 479 774  288
737 527 921  208
453 885 632  773
733 478 463  830
529 780 811  377
652 937 903  628
912 782 762  678
798 575 579  547
593 777 861  583
563 783 840  860
878 981 838  185
491 807 691  405
30
783 706 591  1 129
638 217 378  37 293
87 609 643  118 296
767 357 505  122 25
64 754 513  195 263
585 786 637  249 263
158 786 746  106 191
679 310 471  213 31
584 297 161  242 81
259 142 295  128 141
797 95 204  294 296
501 577 265  43 43
717 771 635  277 149
583 69 351  286 163
710 689 98  288 175
83 248 460  43 129
354 23 147  157 18
489 187 78  141 235
125 118 162  58 118
543 216 434  87 78
185 391 335  251 175
3 547 683  250 87
428 442 145  242 142
51 275 305  201 266
680 38 681  231 103
182 52 755  256 166
400 585 95  139 71
301 199 119  33 71
191 491 87  231 41
301 369 433  266 200
