5
359 265 398  191
227 451 20  61
447 218 3  714
60 419 138  293
440 2 441  335
30
54 74 258  202 121
20 128 79  206 321
481 485 429  226 193
255 217 30  197 294
380 356 442  491 330
280 367 103  268 363
324 142 297  400 65
220 435 113  178 18
34 81 451  145 149
484 150 44  461 316
316 398 498  334 446
193 307 417  14 10
403 51 47  35 297
98 235 455  59 386
185 487 211  463 159
194 14 353  56 201
368 155 218  49 415
29 463 500  46 343
409 309 206  181 234
200 56 94  19 181
288 222 442  418 460
187 377 448  112 188
261 316 51  228 128
126 383 41  387 490
249 228 209  486 85
418 174 413  376 217
136 278 486  70 216
368 121 220  207 76
154 307 21  456 372
476 312 33  467 129
