15
948 513 601  597
962 629 400  127
730 580 443  732
973 690 523  869
515 593 992  306
733 756 644  467
813 887 834  970
843 493 793  588
481 514 717  314
612 412 671  318
752 795 723  674
605 928 999  961
604 807 944  741
744 971 868  715
519 918 718  991
15
403 596 555  167 193
202 385 581  29 75
701 146 186  199 235
545 17 237  87 300
474 410 503  282 74
261 75 655  189 267
457 275 319  162 57
150 53 290  224 76
461 465 281  5 160
776 780 143  129 210
391 263 153  91 125
408 774 359  82 207
194 83 352  158 137
214 599 379  49 4
26 85 498  34 122
