10
413 936 423  749
444 892 959  929
773 965 900  670
946 531 413  921
437 579 611  456
664 604 906  908
640 438 751  537
498 719 817  203
610 882 508  239
463 850 416  146
40
473 192 690  229 239
692 568 585  120 243
554 329 587  255 49
326 258 357  127 60
788 630 539  96 180
429 122 153  127 110
125 516 263  37 164
494 435 482  72 242
793 700 215  172 240
777 455 408  281 47
469 767 768  218 79
469 61 127  165 245
331 504 279  96 277
360 132 552  162 86
20 542 153  96 84
350 510 225  82 278
448 413 40  91 298
95 605 83  255 281
591 534 547  173 103
785 772 374  25 278
645 353 714  290 128
103 385 467  36 209
649 730 663  280 121
146 456 414  88 89
748 576 648  66 49
609 14 147  14 274
555 651 243  179 28
136 489 51  195 134
188 454 373  122 262
409 276 650  19 236
759 343 780  129 239
416 217 705  208 29
242 166 642  111 169
153 755 235  71 290
230 572 540  50 293
726 209 472  187 7
481 707 140  88 4
773 291 390  253 94
39 293 192  55 49
178 5 477  177 265
