2
986    486    422 40
533	517	988	759 41
20
393    335    75 115	119
180    109    93 110	17
256    103    98 12	90
101    93    52 75	13
256    98    101 29	50
228    194    93 111	115
305    80    67 28	129
351    334    212 148	118
500    430    255 2 2 108	39
594    470    60 2 2 91	11
234    189    59 5 5 122	54
231    111    98 5  5
348    248    19 2 2
128    128    130 3 3
128    128    130 2 2
205    62    54 1 1 
256    98    101 5 5
172    45    27 3 3
351    334    212 4  4
610    364    318 1 1
215    230    118 3 3
