2
612    492    384 32
960	966	847	120
20
114    73    73 31	132
180    110    95 31	17
257    101    101 25	97
178    148    62 54	24
256    103    98 73	116
182    109    93 146	7
272    88    88 118	78
116    75    75 66	25
62    76    73 139	98
130    130    130 42	129
393    335    75 115	119
180    109    93 110	17
256    103    98 12	90
101    93    52 75	13
256    98    101 29	50
228    194    93 111	115
305    80    67 28	129
351    334    212 148	118
500    430    255 2 2 108	39
594    470    60 2 2 91	11
234    189    59 5 5 122	54

